,sujeto,lados,angulo,combinacion,mediana,ciclo
52,AB06_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.07880306243896484,full
53,AB06_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.00147914886474605,nods
54,AB06_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.0670371055603027,stance
55,AB06_mine_excluded_nogc.mat,L-R,subt,Ltoe-Rsubt,0.1275520324707031,swing
56,AB06_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.09180355072021479,full
57,AB06_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.00353670120239255,nods
58,AB06_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.0166864395141601,stance
59,AB06_mine_excluded_nogc.mat,L-R,knee,Ltoe-Rknee,0.035562992095947196,swing
60,AB06_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.3031940460205078,full
61,AB06_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.00097894668579095,nods
62,AB06_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.0243744850158691,stance
63,AB06_mine_excluded_nogc.mat,L-R,hip_addu,Ltoe-Rhip_addu,0.02439928054809565,swing
64,AB06_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.21286058425903315,full
65,AB06_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.0138359069824218,nods
66,AB06_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.1153640747070312,stance
67,AB06_mine_excluded_nogc.mat,L-R,hip_flex,Ltoe-Rhip_flex,0.34500885009765625,swing
68,AB06_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.0235519409179687,full
69,AB06_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.00233078002929685,nods
70,AB06_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.00912570953369135,stance
71,AB06_mine_excluded_nogc.mat,L-R,hip_rot,Ltoe-Rhip_rot,0.01618814468383785,swing
72,AB06_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.18011188507080075,full
73,AB06_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.00303173065185545,nods
74,AB06_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.0297751426696777,stance
75,AB06_mine_excluded_nogc.mat,L-L,ankle,Ltoe-Lankle,0.018714427947998,swing
76,AB06_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.1376738548278808,full
77,AB06_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.00733900070190425,nods
78,AB06_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.008718967437744099,stance
79,AB06_mine_excluded_nogc.mat,L-L,subt,Ltoe-Lsubt,0.0682239532470703,swing
80,AB06_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.3315300941467285,full
81,AB06_mine_excluded_nogc.mat,L-L,knee,Ltoe-Lknee,0.0018167495727538499,nods
